Designator,Mid X,Mid Y,Layer,Rotation
C1,72.7,-21.2,top,90
C2,70.9,-21.2,top,90
C3,68.3,-21.5,top,90
C4,62.4,-22,top,180
C5,62.4,-21.1,top,180
C6,62.9,-23.35,top,-90
C7,65.9,-17.1,top,-90
C8,67.8,-17.1,top,-90
C9,52.7,-16.8,top,90
C10,49.7,-23.9,top,180
C11,43.3,-23.8,top,0
C12,43.3,-25.2,top,0
C13,43.65,-57.5,top,0
C14,33.4,-60.2,top,90
C15,35.2,-60.2,top,90
C16,37,-60.2,top,90
C17,38.8,-60.2,top,90
C18,40.6,-60.2,top,90
C19,33.4,-72,top,-90
C20,35.2,-72,top,-90
C21,37,-72,top,-90
C22,38.8,-72,top,-90
C23,40.6,-72,top,-90
C24,46.45,-57.5,top,0
C25,49.4,-60.2,top,90
C26,51.2,-60.2,top,90
C27,53,-60.2,top,90
C28,54.8,-60.2,top,90
C29,56.6,-60.2,top,90
C30,49.4,-72,top,-90
C31,51.2,-72,top,-90
C32,53,-72,top,-90
C33,54.8,-72,top,-90
C34,56.6,-72,top,-90
C35,50.5,-57.6,top,0
C36,43.1,-29.7,top,0
C37,37.5,-33.7,top,90
C38,37.5,-40.4,top,90
C39,49.7,-43.2,top,-90
C40,51.2,-32.3,top,0
C41,47.4,-28.7,top,0
C42,45.6,-28.7,top,180
C43,50.4,-29.6,top,-90
C44,50.4,-27.8,top,90
C45,34.9,-39.6,top,180
C46,35.5,-26.7,top,180
C47,29.5,-26.7,top,180
C48,64.3,-30.4,top,-90
C49,69.7,-29.8,top,-90
C50,71.7,-29.4,top,-90
C51,71.7,-27.6,top,90
C52,62.8,-34.5,top,-90
C53,71.2,-36.4,top,-90
C54,26.9,-46,top,-90
C55,26,-46,top,-90
C56,25.1,-46,top,-90
C57,26,-44,top,90
C58,25.1,-44,top,90
C59,27.2,-48.3,top,-90
C60,23.5,-48.5,top,-90
C61,26.8,-54.7,top,0
C62,26.8,-59.7,top,0
C63,22,-50.2,top,-90
C64,18.3,-49.4,top,180
C65,26.7,-67.3,top,90
C66,25.8,-67.3,top,90
C67,24.9,-67.3,top,90
C68,26.7,-69.6,top,-90
C69,25.8,-69.6,top,-90
C70,24,-74.2,top,0
C71,19.2,-75,top,-90
C72,19.2,-72.5,top,-90
C73,15.5,-72.3,top,-90
C74,16.3,-73.9,top,0
C75,16.3,-78.3,top,0
C76,63.9,-50.2,top,180
C77,66.2,-52.15,top,-90
C78,72.8,-46.7,top,0
C79,69,-42.5,top,90
C80,64.8,-52.15,top,-90
C81,67.15,-52.15,top,-90
C82,71.55,-51.4,top,-90
C83,72.8,-45.35,top,0
C84,63.4,-46.3,top,180
C85,63.4,-47.5,top,180
C86,63.4,-48.4,top,180
C87,63.4,-49.3,top,180
C88,61.3,-44,top,180
C89,70.65,-51.4,top,-90
C90,74.1,-53.05,top,180
C91,74.9,-57.1,top,-90
C92,74.1,-61.15,top,180
C93,74.1,-64.45,top,180
C94,67.95,-53.8,top,180
C95,69.4,-55.1,top,-90
C96,71.7,-53.8,top,0
C97,67,-55.6,top,180
C98,69.9,-69.9,top,90
C99,69,-69.9,top,90
C100,60.8,-73.1,top,0
C101,60.8,-72.1,top,0
C102,60.8,-71.2,top,0
C103,64.3,-76.6,top,180
C104,69,-77.5,top,0
C105,72.4,-77.5,top,0
C106,25.1,-89.8,top,-90
C107,26.75,-89,top,0
C108,28.4,-89.8,top,-90
C109,30.05,-89,top,0
C110,33.35,-89,top,0
C111,36.65,-89,top,0
C112,20.1,-84.8,top,-90
C113,21.75,-84,top,0
C114,23.4,-84.8,top,-90
C115,27.8,-84.8,top,-90
C116,32.2,-84.8,top,-90
C117,68.2,-89.8,top,-90
C118,66.55,-89,top,180
C119,64.9,-89.8,top,-90
C120,60.5,-89.8,top,-90
C121,56.1,-89.8,top,-90
C122,68.3,-84.8,top,-90
C123,66.65,-84,top,180
C124,65,-84.8,top,-90
C125,63.35,-84,top,180
C126,60.05,-84,top,180
C127,56.75,-84,top,180
C128,7.2,-10.6,top,-90
C129,84.2,-10.6,top,-90
C130,86.8,-85.3,top,90
C131,6.8,-85.3,top,90
D1,74.7,-20.8,top,90
D4,70.7,-76.7,top,-90
FB1,43.3,-22.2,top,180
FB2,28,-44.2,top,180
FB3,29.4,-68.4,top,-90
FB4,63,-42.8,top,0
FB5,60.9,-75.2,top,90
FB6,27.9,-68.4,top,-90
FL1,19.2,-58.2,top,90
FL2,65.4,-62,top,90
H5,7.5,-20,top,0
H6,82.5,-20,top,0
H7,82.5,-80,top,0
H8,7.5,-80,top,0
J1,13.97,-12.7,top,90
J2,13.97,-7.62,top,90
J3,78,-30,top,90
J4,13,-31,top,-90
J5,45,-50,top,0
L1,62.8,-17.6,top,90
L2,37,-66.1,top,-90
L3,53,-66.1,top,-90
L4,25.4,-48,top,180
L5,26.8,-56.2,top,0
L6,26,-58,top,-90
L7,26,-61.4,top,-90
L8,21.2,-48.1,top,180
L9,20.4,-50.2,top,-90
L10,23.5,-67.7,top,180
L11,23.85,-69.2,top,180
L12,23.4,-72.3,top,-90
L13,21.4,-74.2,top,180
L14,25.9,-74.2,top,0
L15,15.5,-76.1,top,-90
L16,72.65,-49.6,top,90
L17,74.9,-51.4,top,-90
L18,74.9,-54.7,top,-90
L19,74.9,-59.5,top,-90
L20,74.9,-62.8,top,-90
L21,74.9,-66.1,top,-90
L22,68.4,-55.1,top,-90
L23,69.85,-53.8,top,0
L24,31.7,-89.8,top,-90
L25,35,-89.8,top,-90
L26,25.6,-84,top,0
L27,30,-84,top,0
L28,34.4,-84,top,0
L29,62.7,-89,top,180
L30,58.3,-89,top,180
L31,53.9,-89,top,180
L32,61.7,-84.8,top,-90
L33,58.4,-84.8,top,-90
Q1,53.15,-19.8,top,0
Q2,43.1,-60,top,-90
Q3,34.1,-55,top,-90
Q4,46.9,-60,top,-90
Q5,55.9,-55,top,-90
R1,59.8,-24.65,top,180
R2,69.5,-21.75,top,-90
R3,69.5,-20.7,top,-90
R4,52.1,-22,top,0
R5,51.6,-17.1,top,90
R6,52.6,-23.4,top,-90
R7,51.7,-23.4,top,-90
R8,43.85,-21,top,0
R9,43.85,-20,top,180
R10,34.1,-52,top,-90
R11,43.65,-56.6,top,0
R12,36.1,-56.1,top,90
R13,57,-52,top,-90
R14,46.45,-56.6,top,0
R15,53.9,-56.1,top,90
R16,47,-46.4,top,180
R17,46.9,-55.2,top,-90
R18,52.2,-53.8,top,-90
R19,45,-29.7,top,180
R20,52.2,-35.9,top,90
R21,16.2,-32,top,180
R22,16.2,-30,top,180
R23,16.19,-33,top,180
R24,16.2,-31,top,180
R25,16.18,-29,top,180
R26,16.19,-26.8,top,180
R27,35.7,-32.6,top,-90
R28,34.7,-32.6,top,-90
R29,35.5,-27.7,top,0
R30,29.5,-27.7,top,0
R31,63.3,-30.4,top,-90
R32,62.3,-30.4,top,90
R33,61.3,-30.4,top,90
R34,63.8,-29,top,180
R35,63.8,-28,top,180
R36,71.2,-30.8,top,180
R37,70.7,-29.45,top,90
R38,70.7,-27.55,top,-90
R39,74.8,-32,top,180
R40,74.8,-31,top,180
R41,62.8,-37.3,top,90
R42,64.2,-37.7,top,0
R43,71.2,-32.6,top,90
R44,71.2,-34.5,top,-90
R45,27.1,-42.5,top,90
R46,28.9,-53.8,top,90
R47,63.4,-44,top,0
R48,65.4,-42.6,top,0
R49,64.3,-78.4,top,180
R50,64.3,-77.5,top,0
R51,36.6,-84.8,top,-90
R52,55.1,-84.85,top,-90
R53,8.9,-10.7,top,-90
R54,82.5,-10.7,top,-90
R55,85.1,-85.2,top,90
R56,5.1,-85.2,top,90
SH1,22,-60,top,0
SH2,68,-60,top,0
U1,65.5,-22,top,0
U2,48,-18,top,180
U3,48,-21.5,top,180
U4,50.2,-54.9,top,90
U5,45,-37,top,-90
U6,34.4,-36.5,top,-90
U7,33.95,-22.5,top,-90
U8,28.05,-22.5,top,-90
U9,67,-29,top,180
U10,67,-34.5,top,0
U11,22,-44.5,top,90
U12,20,-69,top,-90
U13,68,-47,top,90
U14,65,-72.5,top,90
X1,46.8,-26.7,top,0
X2,55,-28.7,top,90
X3,17.8,-43.5,top,-90
X4,61.3,-45.9,top,-90
